Date,"Gross Domestic Product, Nominal, National Currency","Gross Domestic Product, Deflator, Index","Household Consumption Expenditure, incl. NPISHs, Nominal, National Currency","External Sector, Exports of Goods and Services, Nominal, National Currency","External Sector, Imports of Goods and Services, Nominal, National Currency","Consumer Price Index, All items, Index","Producer Price Index, All Commodities, Percentage change, previous period, Percent","Real Effective Exchange Rate, Consumer Price Index","Interest Rates, Money Market Rate","Public Final Consumption Expend., Nominal",M2,International Reserves,Crude Oil income,Population,"Real wage, NSA",Employment in Manufacturing,Population,Bicurrency bundle,Y must be real and equal C+I+G,Y must be SA,Y must be per capita,Ymust be an index value,C must be real,C must be SA,C must be per capita,C must be an index value ,Inflaiton CPI,real exchange rate (US dollar),real exchange rate (Euro),real exchange rate weighted,real balances must be real and per capita,M must be an index value,Domestic Inflaiton ,"Real wage, must be SA",Crude Oil income,Oil imcome must be per capita,oil income 
1994 Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998Q1,540.6104,,317.33140000000003,124.76660000000001,131.3632,11.3248431445859,11.33,,,102.6625,364.7,16858.68,,,,,,,,,,,,,,,,,,,,,,,,,
1998Q2,588.551,,322.8836,133.05929999999998,134.33270000000002,11.4911131418148,11.5,,,104.1575,374.5,16168.96,,,,,,,,,,,,,,,,,,,,,,,,,
1998Q3,658.9508000000001,,383.54179999999997,197.3565,161.7675,13.3501397774977,13.36,,,120.1182,374.1,12709.07,,,,,,,,,,,,,,,,,,,,,,,,,
1998Q4,784.5696999999999,,487.41270000000003,365.861,218.1704,18.6687863555202,18.67,,,165.6824,453.7,12222.98,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q1,901.3469,15.21,549.3929,388.3695,264.4272,22.9451762842471,17.7377892030848,44.6306954650866,23.0666666666667,158.6055,482.2,10764.85,6069,146693,53.69,109.712082424702,146.693,24.427965,5111.141354372124,5625.3905,38348.05000920289,0.6573651486594821,3612.0506245890865,3734.8358,25460.218278990815,0.75322837714359,1.2290663060409606,1.844554491783475,1.7350374477462944,1.7944414935200819,14326.048497010077,0.25559318082952964,1.177377892030848,56.077344,5686.900648498555,38.767362099749505,-0.119131876545492
1999 Q2,1101.5013000000001,17.35,594.2811999999999,470.9202,305.7745,24.9154562514091,12.1315502183407,47.1814663142219,10.2333333333333,171.9714,581.5,12153.31,6391,146223,59.87,110.239878638475,146.223,25.297525,5396.862247838617,5634.8092,38535.7242020749,0.660582273745823,3425.251873198846,3590.0075,24551.592430739347,0.7263471161265184,1.0858690272305593,1.8350020572042902,1.6068417013803378,1.7285740857064915,15961.186963119319,0.2847659315525782,1.121315502183407,60.101403,6186.9922057592585,42.31203166231891,-0.115877706952594
